question,contexts,answer,ground_truth
"Bản mô tả chương trình đào tạo là gì? Sinh viên biết được những thông tin quan trọng gì từ bản mô tả?","['Bao gồm: thông tin chung, mục tiêu, chuẩn đầu ra (PLOs), ma trận tương thích, tiêu chí tuyển sinh, cấu trúc chương trình, khung CTĐT (kế hoạch học tập chuẩn), tóm tắt học phần và phương pháp dạy - học.']","Bản mô tả CTĐT bao gồm các thông tin như mục tiêu, chuẩn đầu ra, cấu trúc chương trình và kế hoạch học tập chuẩn.","Bao gồm: thông tin chung, mục tiêu, chuẩn đầu ra (PLOs), ma trận tương thích, tiêu chí tuyển sinh, cấu trúc chương trình, khung CTĐT (kế hoạch học tập chuẩn), tóm tắt học phần và phương pháp dạy - học."
"Tổng số tín chỉ và thời gian đào tạo chuẩn của ngành Khoa học máy tính (KHMT) là bao nhiêu?","[""Học phần CT173H có tên là Kiến trúc máy tính. Số tín chỉ của học phần là 3. Số tiết lý thuyết là 45. Số tiết thực hành là 30. Đây là học phần bắt buộc. Mô tả tóm tắt học phần: Học phần cũng cấp cho người học có cái nhìn tổng quan về lịch sử phát triển của máy tính, thông tin và sự mã hóa thông tin dùng trong hệ thống; giới thiệu các thành phần cơ bản của một hệ thống máy tính; giới thiệu các nguyên lý thiết kế kiến trúc tập lệnh; cung cấp kiến thức các bộ xử lý sử dụng kiến trúc tập lệnh RISC và CISC; giới thiệu về vai trò của trình biên dịch trong các hệ thống máy tính; giới thiệu chi tiết về kiến trúc của bộ xử lý trung tâm, về bộ xử lý tuần tự Vonn Neumann, các bộ xử lý song song; giới thiệu kiến thức về chức năng và nguyên lý hoạt động cơ bản của các cấp bộ nhớ máy tính;hoạt động của bộ nhớ đệm và bộ nhớ ảo; các phương pháp và tiêu chí đánh giá hiệu năng của máy tính qua bộ xử lý và bộ nhớ, giới thiệu một số thiết bị ngoại vi; phương pháp an toàn dữ liệu trên thiết bị lưu trữ ngoài (RAID)."", ""Học phần CT173 có tên là Kiến trúc máy tính. Số tín chỉ của học phần là 3. Số tiết lý thuyết là 45. Số tiết thực hành là 30. Đây là học phần bắt buộc."", ""Học phần CT101H có tên là Toán cho khoa học máy tính. Số tín chỉ của học phần là 4. Số tiết lý thuyết là 60. Số tiết thực hành là 60. Đây là học phần bắt buộc. Mô tả tóm tắt học phần: Nội dung chính của học phần gồm 5 chương. Chương 1 giới thiệu khái niệm mệnh đề và vị từ, cách suy luận toán học và các phương pháp chứng minh trên các mệnh đề và vị từ. Chương 2 trình bày khái niệm quan hệ trên tập hợp, cấu trúc đại số Bool và hàm Bool, cách giải hệ phương trình Bool, tổng hợp hàm Bool và đơn giản các công thức. Chương 3 trình bày khái niệm tổ hợp và xác suất, và các phương pháp tính toán tổ hợp và xác suất. Chương 4 trình bày lý thuyết chia hết và chia có dư trên vành các số nguyên. Chương 5 trình bày phép tính đồng dư và các vấn đề có liên quan. Các nội dung này sẽ được giảng dạy trong 60 tiết cho sinh viên Trường Công nghệ thông tin và Truyền thông, trong đó giảng viên sẽ trình bày các vấn đề lý thuyết trong 40 tiết và sửa bài tập cho sinh viên trong 20 tiết. Sinh viên phải có trách nhiệm tự học trong khoảng 60 tiết."", ""Học phần CT517E có tên là Thực tập doanh nghiệp - MMT&TTDL. Số tín chỉ của học phần là 5. Số tiết lý thuyết là 30. Số tiết thực hành là 150. Yêu cầu tín chỉ tối thiểu: ≥ 125 TC. Đây là học phần bắt buộc. Mô tả tóm tắt học phần: Trong chương trình đào tạo ngành Mạng máy tính và Truyền thông dữ liệu, sinh viên phải trải qua 8 tuần thực tập thực tế nhằm để sinh viên: vận dụng kiến thức được trang bị trong nhà trường vào thực tế; rèn luyện kỹ năng thực hành thông qua việc thực hiện các công việc thực tiễn; rèn luyện ý thức chấp hành kỷ luật lao động; học tập kinh nghiệm về giao tiếp với mọi người, làm việc trong môi trường tương tác. Sau khi kết thúc đợt thực tập mỗi sinh viên/ nhóm sinh viên thực tập phải nộp một báo cáo thực tập theo mẫu báo cáo thực tập."", ""Tổng tín chỉ chương trình đào tạo: 161"", ""Thời gian đào tạo chuẩn: 4.5 năm""]","Tổng số tín chỉ: 161 và Thời gian đào tạo: 4.5 năm","Từ khóa 47 trở về trước CTĐT ngành KHMT có 156 tín chỉ. Từ Khóa 48 trở về sau có 161 tín chỉ với thời gian đào tạo thiết kế là 4,5 năm."
"Khi sinh viên tốt nghiệp danh hiệu văn bằng được cấp sẽ là gì?","['Sinh viên tốt nghiệp ngành Khoa học máy tính sẽ được cấp bằng Kỹ sư.']","Khi sinh viên tốt nghiệp, danh hiệu văn bằng được cấp là Kỹ sư.","Sinh viên tốt nghiệp ngành Khoa học máy tính sẽ được cấp bằng Kỹ sư."
"Các phương thức tổ chức đào tạo được áp dụng cho ngành KHMT là gì?","[""Đây là mục tiêu đào tạo loại chung. Mục tiêu đào tạo chung Chương trình Khoa học máy tính trình độ đại học đào tạo những kỹ sư có kiến thức tổng quát về khoa học máy tính, kỹ năng lập trình đa dạng và vận dụng chúng vào các vấn đề thực tiễn đáp ứng yêu cầu phục vụ và phát triển kinh tế - xã hội; có kiến thức về khoa học chính trị, xã hội, pháp luật, giáo dục thể chất, kiến thức về quốc phòng và an ninh và năng lực ngoại ngữ. Kỹ sư Khoa học máy tính có kiến thức cốt lõi ngành Khoa học máy tính và kiến thức chuyên sâu để trở thành những chuyên gia về khoa học dữ liệu: phân tích số liệu và khai thác dữ liệu; chuyên gia xử lý ảnh và thị giác máy tính; chuyên gia tư vấn thiết kế các giải pháp liên quan đến công nghệ thông tin nói chung. Ngoài ra, sinh viên sau khi ra trường có đủ kiến thức và kỹ năng cần thiết để thích ứng với sự thay đổi của công nghệ mới, có năng lực làm việc nhóm, làm việc hợp tác, có năng lực tự học, tự nghiên cứu, phản biện các vấn đề chuyên sâu thuộc lĩnh vực công nghệ thông tin và ứng dụng liên quan cũng như có thể tiếp tục học tập ở bậc đào tạo sau đại học."", ""Trực tiếp"", ""Trực tuyến""]","Dựa trên dữ liệu từ hệ thống đào tạo, các phương thức tổ chức đào tạo được áp dụng cho ngành KHMT bao gồm: Trực tiếp, Trực tuyến.","Chương trình được tổ chức đào tạo theo phương thức trực tiếp và trực tuyến."
"Chuẩn đầu ra về ngoại ngữ của người tốt nghiệp ngành KHMT là gì?",,"Sinh viên cần đạt trình độ bậc 3/6 (VSTEP) hoặc B1 theo khung Châu Âu.","Người học phải đạt trình độ bậc 3/6 theo Khung năng lực ngoại ngữ Việt Nam hoặc trình độ B1 theo khung Châu Âu."
"Học phần tiên quyết được định nghĩa như thế nào?","['Là học phần mà sinh viên phải tích lũy (đạt điểm từ D trở lên) mới được phép đăng ký học phần tiếp sau nó.']","Là học phần bạn phải đạt điểm D trở lên mới được học môn tiếp theo.","Là học phần mà sinh viên phải tích lũy (đạt điểm từ D trở lên) mới được phép đăng ký học phần tiếp sau nó."
"Học phần song hành là gì?","['Là học phần mà sinh viên phải đăng ký học trước hoặc học cùng lúc với một học phần tương ứng khác.']","Là học phần phải đăng ký học trước hoặc học cùng lúc với học phần tương ứng.","Là học phần mà sinh viên phải đăng ký học trước hoặc học cùng lúc với một học phần tương ứng khác."
"Sinh viên cần tích lũy tối thiểu bao nhiêu tín chỉ để được đăng ký Thực tập doanh nghiệp hoặc Luận văn tốt nghiệp ngành KHMT?","['Sinh viên cần tích lũy tối thiểu từ 125 tín chỉ trở lên.']","Bạn cần tích lũy ít nhất 125 tín chỉ.","Sinh viên cần tích lũy tối thiểu từ 125 tín chỉ trở lên."
"Học phần Cấu trúc dữ liệu có học phần tiên quyết là gì?","['Học phần tiên quyết của Cấu trúc dữ liệu là CT101 (Lập trình căn bản A).']","Môn tiên quyết là CT101 - Lập trình căn bản A.","Học phần tiên quyết của Cấu trúc dữ liệu là CT101 (Lập trình căn bản A)."
"Sinh viên có thể chọn hình thức nào thay thế cho Luận văn tốt nghiệp?","['Sinh viên có thể chọn làm Tiểu luận tốt nghiệp (6 TC) hoặc học thêm các học phần tự chọn để tích lũy đủ số TC theo yêu cầu của CTĐT.']","Có thể làm Tiểu luận tốt nghiệp hoặc học bù thêm các môn tự chọn.","Sinh viên có thể chọn làm Tiểu luận tốt nghiệp (6 TC) hoặc học thêm các học phần tự chọn để tích lũy đủ số TC theo yêu cầu của CTĐT."
